name,id
Robin Williams,11238
Frank Welker,11238
Keenan Wynn,11575
Bess Flowers,521
Harvey Keitel,500
Steve Buscemi,500
Willem Dafoe,792
Keith David,792
Alec Baldwin,9504
Steve Buscemi,67365
Samuel L. Jackson,67365
John Turturro,67365
Robert Duvall,2119
Eric Roberts,136311
Dennis Hopper,221
Whoopi Goldberg,11112
Christopher Walken,21612
Christopher Plummer,11843
Donald Pleasence,1103
Harry Dean Stanton,1103
John Carradine,11298
Gérard Depardieu,4480
Harry Dean Stanton,10765
Gérard Depardieu,4483
Irving Bacon,218713
Susan Sarandon,10608
Willem Dafoe,409
Christopher Lloyd,510
James Earl Jones,1891
Frank Welker,85
Robert De Niro,68
Anthony Quinn,947
Malcolm McDowell,185
Robert Duvall,595
Robert Duvall,28
Dennis Hopper,28
Keenan Wynn,335
James Earl Jones,1892
Robert De Niro,769
Samuel L. Jackson,769
Harry Dean Stanton,348
John Hurt,348
Robert Duvall,240
Robert De Niro,240
Harry Dean Stanton,240
John Wayne,3109
Ward Bond,3109
Robert De Niro,311
Robert De Niro,1578
John Turturro,1578
Christopher Walken,703
Max von Sydow,490
Morgan Freeman,9665
John Turturro,379
Steve Buscemi,379
Robin Williams,207
Keenan Wynn,1480
Bess Flowers,828
Donald Pleasence,5925
Robert De Niro,11778
Christopher Walken,11778
Morgan Freeman,33
Bess Flowers,982
Charles Lane,212
Christopher Lloyd,105
Harry Dean Stanton,903
Dennis Hopper,903
Gérard Depardieu,11673
Christopher Plummer,16633
Stellan Skarsgård,10644
James Earl Jones,2323
Michael Caine,983
Christopher Plummer,983
Harry Dean Stanton,655
Max von Sydow,10341
John Carradine,229
Bess Flowers,229
Robert De Niro,1598
Malcolm McDowell,6217
Christopher Plummer,28198
Donald Pleasence,28198
Michael Caine,31640
M. Emmet Walsh,8744
Stellan Skarsgård,145
Robert Duvall,12498
Stellan Skarsgård,85589
Bruce Willis,1573
John Leguizamo,1573
Christopher Plummer,174
Christopher Lloyd,157
Christopher Walken,364
Keith David,10173
Danny Trejo,10173
Nicolas Cage,378
John Goodman,378
M. Emmet Walsh,378
James Earl Jones,2322
Robert De Niro,9819
Alec Baldwin,31908
Whoopi Goldberg,31908
Bruce Willis,3179
Robin Williams,10549
Gérard Depardieu,10549
Jackie Chan,9404
Gérard Depardieu,197537
Samuel L. Jackson,31000
Nicolas Cage,31000
John Leguizamo,17949
Christopher Walken,61563
Harvey Keitel,18420
Danny Trejo,9360
Frank Welker,9360
John Leguizamo,102878
Keith David,10357
Robin Williams,12499
Bruce Willis,18
Nicolas Cage,1701
Steve Buscemi,1701
Danny Trejo,1701
Willem Dafoe,1639
Harvey Keitel,11103
Keith David,11970
M. Emmet Walsh,8874
Nicolas Cage,754
Danny Glover,38225
John Hurt,686
James Earl Jones,9387
Max von Sydow,9387
Harvey Keitel,2142
Robert De Niro,2142
John Leguizamo,10336
Frank Welker,10336
Brian Cox,9458
Harry Dean Stanton,38295
Christopher Walken,26180
Samuel L. Jackson,6072
Alec Baldwin,1669
James Earl Jones,1669
Stellan Skarsgård,1669
Whoopi Goldberg,10806
Alec Baldwin,9433
Morgan Freeman,9437
Brian Cox,9437
Harry Dean Stanton,14289
Donald Sutherland,18355
Harvey Keitel,29911
Samuel L. Jackson,45153
Danny Glover,10871
James Earl Jones,14398
Malcolm McDowell,32332
Danny Glover,11975
Danny Glover,9281
M. Emmet Walsh,31535
Bruce Willis,4824
Christopher Lloyd,9444
Morgan Freeman,11831
Stellan Skarsgård,11831
Robert Duvall,2895
Robin Williams,2639
Robin Williams,9574
Robin Williams,489
Stellan Skarsgård,489
Christopher Walken,6283
Samuel L. Jackson,184
Robert De Niro,184
Malcolm McDowell,9438
John Goodman,115
Steve Buscemi,115
John Turturro,115
Robert De Niro,9410
Robert De Niro,586
Morgan Freeman,11258
John Goodman,9411
Donald Sutherland,9411
Christopher Walken,9033
Eric Roberts,9033
Danny Trejo,11702
John Goodman,11568
Steve Buscemi,11003
Samuel L. Jackson,10153
Christopher Walken,9558
Steve Buscemi,9558
Susan Sarandon,26269
M. Emmet Walsh,26269
John Hurt,47452
Liam Neeson,21736
Christopher Walken,10668
Gérard Depardieu,9313
Dennis Hopper,40688
Bruce Willis,8838
Alec Baldwin,8838
Nicolas Cage,795
John Turturro,9469
Robert Duvall,12488
John Goodman,9449
Jackie Chan,78149
Whoopi Goldberg,78149
Christopher Lloyd,29825
Steve Buscemi,29825
Jackie Chan,10622
Liam Neeson,4415
Robert Duvall,8656
Morgan Freeman,8656
Frank Welker,18937
Harry Dean Stanton,1878
Stellan Skarsgård,26610
Danny Trejo,6068
Frank Welker,10674
Jackie Chan,10674
Samuel L. Jackson,1389
Bruce Willis,95
Steve Buscemi,95
Keith David,95
Danny Glover,944
Keith David,544
Charles Lane,34106
Irving Bacon,34106
Ward Bond,34106
Christopher Lee,23383
John Hurt,874
M. Emmet Walsh,3116
Donald Sutherland,16619
M. Emmet Walsh,16619
Morgan Freeman,403
Donald Sutherland,466
Harry Dean Stanton,13820
Donald Pleasence,948
Donald Pleasence,11281
Donald Pleasence,11357
Donald Pleasence,11361
Max von Sydow,9552
Max von Sydow,11586
James Earl Jones,11586
Samuel L. Jackson,11587
Danny Glover,941
Danny Glover,942
Danny Glover,943
Christopher Lee,928
Frank Welker,928
Christopher Lloyd,165
Christopher Lloyd,196
Keenan Wynn,17984
Bess Flowers,17984
Bess Flowers,32611
Max von Sydow,841
Willem Dafoe,11051
Harvey Keitel,11051
Harry Dean Stanton,11051
John Hurt,10957
Frank Welker,29228
Charles Lane,24816
Vincent Price,9994
Samuel L. Jackson,9631
Harvey Keitel,36606
Robert Duvall,42121
Dennis Hopper,793
Michael Caine,10437
Robert Duvall,15300
Harry Dean Stanton,13380
Robin Williams,11335
Frank Welker,11135
Christopher Lee,14822
Frank Welker,15969
Keenan Wynn,15943
Keenan Wynn,19762
M. Emmet Walsh,6471
Vincent Price,9442
Danny Glover,13697
John Hurt,123
