id_director,name
59,Luc Besson
6495,Mira Nair
23757,Joshua Brand
16214,Mario Van Peebles
4135,Robert Redford
994323,Kayo Hatta
23724,Patrice Chéreau
7623,Sam Raimi
12804,Peter Yates
9789,Robert Altman
1126,Krzysztof Kieślowski
77305,He Ping
45642,Fred Gerber
133793,George Mihalka
1524,Harold Ramis
107274,Richard Rich
102445,John Sayles
26648,Luis Llosa
6046,Roland Emmerich
58072,John Pasquin
4027,Frank Darabont
2034,Danny Boyle
101444,Scott McGehee
101446,David Siegel
72646,Tomás Gutiérrez Alea
72647,Juan Carlos Tabío
57028,George Huang
91499,Kevin Dowling
72629,Geoff Burton
64030,Kelly Makin
56891,Rachel Talalay
15521,Ernest R. Dickerson
2380,David Carson
141825,Rusty Cundieff
58080,Brian Gilbert
11770,John Carpenter
13426,Peter Segal
15389,Louis Malle
1884,Steven Soderbergh
76705,Preston A. Whitmore II
12962,Jon Turteltaub
1230367,Mina Shum
3045,P.J. Hogan
83313,Melanie Mayron
4499,Tom Shadyac
27889,Stephan Elliott
13015,Phillip Noyce
16853,Jessie Nelson
21085,Alex Proyas
4037,Ron Shelton
13581,Brian Levant
24,Robert Zemeckis
6482,John Singleton
81727,Darnell Martin
41550,Andrew Bergman
7775,Stephen Sommers
226963,Ray Müller
15812,Roger Allers
18898,Rob Minkoff
4956,Bernardo Bertolucci
26713,Chuck Russell
72427,Alan Rudolph
7399,Ben Stiller
18281,Donald Petrie
83588,Robert Allan Ackerman
323,Curtis Hanson
2209,Jan de Bont
33485,Ron Underwood
2710,James Cameron
46085,Luis Mandoki
42301,Damian Harris
158634,Suri Krishnamma
72125,Jefery Levy
35689,Keenen Ivory Wayans
133183,Robert Lee King
1066114,Brian Sloan
1087439,Raoul O'Connell
234793,Yves Angelo
4590,Russ Meyer
67896,Doug McHenry
80537,Dave Borthwick
1726,Steven E. de Souza
486,Wallace Wolodarsky
126837,Michael A. Nickles
1142481,Paul Warner
532207,Vincent Robert
1382436,Lucas Platt
1385254,Ross Kagan Marks
220152,Paul Williams
4040,Robert Wuhl
16401,Roberto Sneider
223910,Jack Baxter
1410160,Jefri Aalmuhammed
53599,Andrew Morahan
77076,Michael Corrente
16513,John G. Avildsen
88060,Jeff Pollack
15106,Thomas Schlamme
